Case,C_in,V_in,Area
dp340,1.10944941206867e-07,1.6193013729718777,60.61328204508765
dp341,5.057110780177958e-07,1.2236240154123157,45.51083096175169
dp342,4.238545703611405e-07,1.7466811922411964,62.73896598216988
dp343,5.340786482509113e-07,1.8863774518517733,49.10250710623307
dp344,1.427600907273107e-08,1.856334489223126,56.15969344612663
dp345,8.04536169029962e-07,1.3003674952401196,61.82491101291081
dp346,1.169599307303532e-06,1.2651470947340757,41.49673994690274
dp347,6.470646534613911e-07,1.688040136141965,46.67206312340451
dp348,8.671810873197578e-07,1.8728244313663815,37.62222526403483
dp349,9.702608641548118e-07,0.30130173055497395,60.06240772223009
dp350,1.219728349475902e-06,0.5163342939075503,66.22145719237238
dp351,6.454478608005115e-07,0.7209793252402428,63.9144208504816
dp352,6.874948210859666e-07,1.675270919331473,46.40638767998932
dp353,1.22968507444087e-06,1.406169479113452,35.67460120157057
dp354,4.171252559838491e-07,1.57654827863511,26.29652755906492
dp355,1.299733766788262e-06,1.8005611659134109,24.64180047351735
dp356,8.691329605853531e-07,0.918559778793915,67.13552349981498
dp357,9.317179613383517e-08,1.4908018056089747,59.37073316866876
dp358,7.891918570433701e-07,1.1240400235742374,40.67198558022124
dp359,4.323653353767283e-06,0.2733240709995865,55.76680979534756
dp360,1.447270774476911e-06,0.4667143813930801,56.71851240114523
dp361,2.052956990370229e-07,1.1864784640492476,40.8284278645168
dp362,1.131694464322679e-06,1.8928546756689344,27.81855724432639
dp363,6.846819923346439e-07,0.7679351854058636,38.17377124806227
dp364,4.151740463539107e-07,1.4554718897250714,30.51907604312022
dp365,4.655295684106297e-07,1.7220121162083393,31.65866344743229
dp366,7.105108685502733e-07,1.21099628172916,48.31615556567856
dp367,5.980929074461035e-07,0.7083289609915493,23.31125278158169
dp368,8.555648819257009e-07,0.9568123907557411,64.29468624456648
dp369,3.300572506949505e-07,0.8696050057459572,44.61138448018869
dp370,1.92395341165873e-06,0.8032779188028316,29.45300377879951
dp371,2.214348662086732e-06,0.4268690438760811,31.87255422241531
dp372,6.159149348566317e-07,1.1619533432939744,46.33926874353163
dp373,2.109080340167542e-06,0.5576115682739753,25.88216628946544
dp374,2.657196721178687e-07,1.635765117031971,32.07922556418254
dp375,3.931128126752992e-08,1.328597241863311,53.84320846636174
dp376,5.690054267263784e-07,1.8668286487800991,25.74771315178536
dp377,7.40950735529157e-07,0.5812572832869409,65.73928362243569
dp378,3.361250162378336e-08,1.6136540250045355,63.086108321418
dp379,4.820349810112223e-08,1.5822148910435951,59.70773949295884
dp380,1.008385466612899e-06,1.6623651300513267,25.40482147920936
dp381,1.216698679333043e-06,1.0913000024070565,49.04562609168367
dp382,2.127609136617779e-07,0.9675149980381661,37.3463640067598
dp383,5.21696699181649e-07,1.1534819286941174,39.7728359491956
dp384,2.721125392999197e-07,1.1318473081206035,61.60174100690482
dp385,1.072748882267291e-06,0.7902098944349596,24.06382474394408
dp386,1.55652361160878e-06,0.6004113540273479,57.1118733890991
dp387,4.865801795635176e-07,0.8846367416573018,66.88544211755242
dp388,1.001340569308917e-06,1.014101116494966,37.48597594947689
dp389,8.224635217073684e-07,0.3518508804345417,39.75446370216628
dp390,7.611548786020997e-07,1.021743928798017,27.03075754107479
dp391,2.931502032533139e-07,1.213384957024193,57.85203063818415
dp392,2.395769702352849e-06,0.4722755443752015,48.86076154017356
dp393,8.1437384296735e-07,0.589694633081943,44.79930507521961
dp394,1.173482230274603e-06,1.1569653510859204,36.95556436955923
dp395,3.644133664818058e-07,0.7061653761554929,37.05425577710611
dp396,3.255967421104287e-07,0.7736472566275028,56.8675710195799
dp397,1.853438406625923e-06,0.5460496968834053,36.14377795205082
dp398,1.136163928003064e-06,1.2217077175554734,38.80291174741126
dp399,1.617020840027849e-07,1.7073592991061026,65.19904618223589
dp400,2.741015305919457e-07,1.8324167284334345,52.54904442433394
dp401,4.652172663287168e-07,1.3375043200460097,59.15295900131049
dp402,3.901648339730784e-07,0.3674497085277598,60.4763659371599
dp403,3.720717064647147e-06,0.4240715228525617,40.90836909591239
dp404,1.249167348398282e-06,0.33181266986891444,67.42010611754388
dp405,4.027136368752625e-06,0.5336669013731683,26.57419395225482
dp406,2.568179111220945e-07,1.2833621148406902,28.22280352909243
dp407,4.715493782813135e-07,1.5611797586082123,64.13102274800545
dp408,1.822672596434703e-07,1.7411950497374349,51.70953468780039
dp409,2.854698347356221e-06,0.35863204900216644,58.74078227513782
dp410,7.640138999232531e-08,1.036691223229443,54.58412627194782
dp411,3.706601263764778e-07,1.5888292677583877,64.83718614034925
dp412,1.439621545967473e-06,0.6628781574766206,64.93636831000272
dp413,3.498824286703695e-06,0.5065029852096119,26.44027547428683
dp414,9.512677262869849e-07,1.0998010265257956,56.97796471524799
dp415,1.246709938080793e-06,1.1266022537575695,25.02584484639667
dp416,9.529553320410007e-06,0.22185320016468962,29.33468362912166
dp417,8.004340420415545e-07,1.1931848248228005,37.25206185206569
dp418,1.061315968802382e-06,1.752131423655451,35.58089802601684
dp419,2.55628996268436e-07,0.6589061821032103,30.56419743527513
dp420,2.757685423926819e-07,1.98775544612893,47.25940015243643
dp421,4.478150685398889e-07,0.7595233005494086,51.00164943227958
dp422,7.459251407562933e-07,1.5284769170819585,58.59317955127615
dp423,2.197314840632857e-06,0.25410481497723536,67.73654411346843
dp424,6.84236888122746e-07,1.493894890269902,48.39872302939889
dp425,6.996898403780328e-07,1.7365044500391975,34.65734615329683
dp426,5.315549857883162e-07,1.803478407801941,50.66045791230579
dp427,1.830245291706115e-07,1.4836465315867255,54.93810547201048
dp428,1.078084998500904e-06,0.805041993369235,51.81397118161725
dp429,4.021728558680869e-06,0.637576232599333,23.46642537716373
dp430,8.359678069565777e-07,1.6268284877246597,43.49284672709226
dp431,1.784768987876849e-07,1.2967553690992546,34.71600158589365
dp432,1.176767021066339e-06,0.9446021745233097,42.94232657710211
dp433,1.643206665391446e-07,0.9984276596987836,25.35315523251704
dp434,1.058584588716332e-06,0.8830732794955567,64.65173325506699
dp435,1.029752725148047e-06,1.2526493796953342,51.30382458649009
dp436,3.437920129853081e-06,0.47739612839232115,33.42997321972521
